Problem, ACO, IGA
50_20_01 , 654809 , 675867
50_20_02 , 722402 , 704053
50_20_03 , 669566 , 669566
50_20_04 , 728963 , 785774
50_20_05 , 746787 , 760729
50_20_06 , 732358 , 732990
50_20_07 , 656165 , 645085
50_20_08 , 568466 , 585875
50_20_09 , 670273 , 696248
50_20_10 , 697068 , 716440
50_20_11 , 680694 , 694672
50_20_12 , 662753 , 674450
50_20_13 , 630767 , 646861
50_20_14 , 670641 , 661464
50_20_15 , 674264 , 700697
50_20_16 , 612073 , 621522
50_20_17 , 747009 , 747141
50_20_18 , 716153 , 706012
50_20_19 , 527671 , 533646
50_20_20 , 655570 , 665179
50_20_21 , 703272 , 688667
50_20_22 , 722782 , 730016
50_20_23 , 667757 , 669034
50_20_24 , 632474 , 637273
50_20_25 , 672108 , 680876
50_20_26 , 703740 , 706097
50_20_27 , 648740 , 689628
50_20_28 , 616428 , 612939
50_20_29 , 592602 , 638190
50_20_30 , 594880 , 617104
100_20_01 , 2.0135e+06 , 2.11853e+06
100_20_02 , 2.1285e+06 , 2.11037e+06
100_20_03 , 1.8822e+06 , 1.8822e+06
100_20_04 , 2.3259e+06 , 2.27701e+06
100_20_05 , 1.76325e+06 , 1.76765e+06
100_20_06 , 1.99194e+06 , 1.96862e+06
100_20_07 , 2.08925e+06 , 2.03393e+06
100_20_08 , 1.99669e+06 , 1.99669e+06
100_20_09 , 2.06787e+06 , 2.06787e+06
100_20_10 , 1.84313e+06 , 1.84313e+06
100_20_11 , 2.05586e+06 , 2.07547e+06
100_20_12 , 1.91812e+06 , 1.91812e+06
100_20_13 , 1.9262e+06 , 1.9262e+06
100_20_14 , 1.91308e+06 , 1.92708e+06
100_20_15 , 1.63166e+06 , 1.59202e+06
100_20_16 , 2.08065e+06 , 2.08065e+06
100_20_17 , 2.17379e+06 , 2.17379e+06
100_20_18 , 2.10707e+06 , 2.02301e+06
100_20_19 , 2.01463e+06 , 2.02416e+06
100_20_20 , 2.05733e+06 , 1.99449e+06
100_20_21 , 1.94166e+06 , 1.94166e+06
100_20_22 , 1.95577e+06 , 1.95577e+06
100_20_23 , 2.03828e+06 , 1.95057e+06
100_20_24 , 1.93153e+06 , 1.93153e+06
100_20_25 , 1.96558e+06 , 1.99174e+06
100_20_26 , 1.82243e+06 , 1.75762e+06
100_20_27 , 2.16488e+06 , 2.16488e+06
100_20_28 , 2.13118e+06 , 2.1347e+06
100_20_29 , 2.24278e+06 , 2.25116e+06
100_20_30 , 1.9727e+06 , 1.9727e+06
