Problem, ACO, IGA
50_20_01 , 668239 , 675867
50_20_02 , 722402 , 722402
50_20_03 , 669566 , 669566
50_20_04 , 782861 , 786832
50_20_05 , 737794 , 741663
50_20_06 , 732990 , 732990
50_20_07 , 658283 , 652135
50_20_08 , 580614 , 580280
50_20_09 , 660822 , 682508
50_20_10 , 689135 , 722456
50_20_11 , 688979 , 693611
50_20_12 , 667793 , 671157
50_20_13 , 622420 , 644430
50_20_14 , 656704 , 653642
50_20_15 , 693152 , 705852
50_20_16 , 632301 , 653147
50_20_17 , 743842 , 747141
50_20_18 , 686008 , 695967
50_20_19 , 519058 , 533646
50_20_20 , 659480 , 665179
50_20_21 , 677529 , 712160
50_20_22 , 729628 , 730016
50_20_23 , 645560 , 669034
50_20_24 , 627039 , 637273
50_20_25 , 679188 , 680876
50_20_26 , 683328 , 738110
50_20_27 , 634276 , 689628
50_20_28 , 616428 , 616428
50_20_29 , 616538 , 605432
50_20_30 , 602111 , 595298
100_20_01 , 1.95115e+06 , 2.08802e+06
100_20_02 , 2.14393e+06 , 1.97992e+06
100_20_03 , 1.8822e+06 , 1.8822e+06
100_20_04 , 2.19515e+06 , 2.24351e+06
100_20_05 , 1.73686e+06 , 1.79752e+06
100_20_06 , 1.90772e+06 , 2.03032e+06
100_20_07 , 2.03099e+06 , 2.06842e+06
100_20_08 , 1.94686e+06 , 1.91555e+06
100_20_09 , 2.06787e+06 , 2.06787e+06
100_20_10 , 1.84313e+06 , 1.84313e+06
100_20_11 , 2.07547e+06 , 2.07547e+06
100_20_12 , 1.91812e+06 , 1.91812e+06
100_20_13 , 1.894e+06 , 1.9262e+06
100_20_14 , 1.93639e+06 , 1.95538e+06
100_20_15 , 1.63166e+06 , 1.63166e+06
100_20_16 , 2.08065e+06 , 2.08065e+06
100_20_17 , 2.11638e+06 , 2.11546e+06
100_20_18 , 2.07747e+06 , 2.09788e+06
100_20_19 , 2.01841e+06 , 1.9732e+06
100_20_20 , 2.05733e+06 , 2.05733e+06
100_20_21 , 1.94166e+06 , 1.94166e+06
100_20_22 , 1.95577e+06 , 1.95577e+06
100_20_23 , 2.03659e+06 , 1.92928e+06
100_20_24 , 1.92608e+06 , 1.89791e+06
100_20_25 , 1.9582e+06 , 1.99818e+06
100_20_26 , 1.8062e+06 , 1.79637e+06
100_20_27 , 2.16488e+06 , 2.16488e+06
100_20_28 , 2.1082e+06 , 2.0848e+06
100_20_29 , 2.25312e+06 , 2.26092e+06
100_20_30 , 1.9727e+06 , 1.9727e+06
