Problem, ACO, IGA
50_20_01 , 668125 , 649869
50_20_02 , 714837 , 722402
50_20_03 , 669566 , 669566
50_20_04 , 752680 , 784502
50_20_05 , 714041 , 745698
50_20_06 , 732686 , 732990
50_20_07 , 658283 , 658283
50_20_08 , 569097 , 589837
50_20_09 , 669607 , 696248
50_20_10 , 688490 , 707095
50_20_11 , 694672 , 694672
50_20_12 , 667484 , 674450
50_20_13 , 641155 , 626085
50_20_14 , 673625 , 683197
50_20_15 , 674794 , 697578
50_20_16 , 622017 , 653147
50_20_17 , 747141 , 747141
50_20_18 , 713739 , 716902
50_20_19 , 528350 , 517986
50_20_20 , 650833 , 657936
50_20_21 , 706268 , 693455
50_20_22 , 724360 , 730016
50_20_23 , 659095 , 669034
50_20_24 , 637273 , 637273
50_20_25 , 680876 , 680876
50_20_26 , 705298 , 741320
50_20_27 , 664931 , 688515
50_20_28 , 616428 , 616428
50_20_29 , 617184 , 637581
50_20_30 , 617104 , 617104
100_20_01 , 2.03847e+06 , 2.07382e+06
100_20_02 , 2.0698e+06 , 2.12694e+06
100_20_03 , 1.8822e+06 , 1.8822e+06
100_20_04 , 2.23712e+06 , 2.31484e+06
100_20_05 , 1.79787e+06 , 1.79948e+06
100_20_06 , 1.94133e+06 , 1.96187e+06
100_20_07 , 2.08925e+06 , 2.08925e+06
100_20_08 , 1.96411e+06 , 1.95184e+06
100_20_09 , 2.06787e+06 , 2.06787e+06
100_20_10 , 1.84313e+06 , 1.84313e+06
100_20_11 , 2.07547e+06 , 2.0695e+06
100_20_12 , 1.91812e+06 , 1.91812e+06
100_20_13 , 1.9262e+06 , 1.9262e+06
100_20_14 , 2.00011e+06 , 1.96511e+06
100_20_15 , 1.63166e+06 , 1.60756e+06
100_20_16 , 2.08065e+06 , 2.03571e+06
100_20_17 , 2.14368e+06 , 2.17379e+06
100_20_18 , 2.06885e+06 , 2.10707e+06
100_20_19 , 1.91725e+06 , 2.02502e+06
100_20_20 , 2.05733e+06 , 2.05733e+06
100_20_21 , 1.94166e+06 , 1.94083e+06
100_20_22 , 1.95577e+06 , 1.94647e+06
100_20_23 , 2.03828e+06 , 2.01161e+06
100_20_24 , 1.93153e+06 , 1.93153e+06
100_20_25 , 1.99648e+06 , 1.98971e+06
100_20_26 , 1.79399e+06 , 1.81291e+06
100_20_27 , 2.16488e+06 , 2.16488e+06
100_20_28 , 2.11183e+06 , 2.06243e+06
100_20_29 , 2.1942e+06 , 2.24104e+06
100_20_30 , 1.9727e+06 , 1.95465e+06
