Problem, ACO, IGA
50_20_01 , 625008 , 675867
50_20_02 , 707098 , 713655
50_20_03 , 669566 , 669566
50_20_04 , 766046 , 768675
50_20_05 , 742335 , 761985
50_20_06 , 732990 , 726438
50_20_07 , 645806 , 642792
50_20_08 , 586146 , 586828
50_20_09 , 653618 , 677626
50_20_10 , 680358 , 717809
50_20_11 , 694672 , 694672
50_20_12 , 640728 , 674450
50_20_13 , 630869 , 648627
50_20_14 , 673401 , 679186
50_20_15 , 686512 , 690786
50_20_16 , 623649 , 646114
50_20_17 , 729884 , 747141
50_20_18 , 702013 , 712617
50_20_19 , 530726 , 533646
50_20_20 , 660526 , 665179
50_20_21 , 685318 , 712160
50_20_22 , 714659 , 730016
50_20_23 , 666203 , 669034
50_20_24 , 616188 , 637273
50_20_25 , 680876 , 680876
50_20_26 , 689349 , 734027
50_20_27 , 673483 , 678972
50_20_28 , 616428 , 616428
50_20_29 , 626937 , 621566
50_20_30 , 602708 , 603607
100_20_01 , 1.99308e+06 , 2.03926e+06
100_20_02 , 2.05404e+06 , 2.11777e+06
100_20_03 , 1.8822e+06 , 1.8822e+06
100_20_04 , 2.2962e+06 , 2.2428e+06
100_20_05 , 1.76868e+06 , 1.79261e+06
100_20_06 , 1.93226e+06 , 2.01666e+06
100_20_07 , 2.08925e+06 , 2.08925e+06
100_20_08 , 1.9869e+06 , 1.97342e+06
100_20_09 , 2.06787e+06 , 2.06787e+06
100_20_10 , 1.84313e+06 , 1.84313e+06
100_20_11 , 2.07547e+06 , 2.07547e+06
100_20_12 , 1.91812e+06 , 1.91812e+06
100_20_13 , 1.9262e+06 , 1.9262e+06
100_20_14 , 1.9349e+06 , 2.00011e+06
100_20_15 , 1.63166e+06 , 1.63166e+06
100_20_16 , 2.08065e+06 , 2.08065e+06
100_20_17 , 2.09805e+06 , 2.16462e+06
100_20_18 , 2.10707e+06 , 2.10667e+06
100_20_19 , 1.90836e+06 , 2.00998e+06
100_20_20 , 2.05733e+06 , 2.02044e+06
100_20_21 , 1.90787e+06 , 1.94166e+06
100_20_22 , 1.95577e+06 , 1.95577e+06
100_20_23 , 2.03828e+06 , 2.02254e+06
100_20_24 , 1.93153e+06 , 1.93153e+06
100_20_25 , 2.01194e+06 , 1.99588e+06
100_20_26 , 1.77211e+06 , 1.82243e+06
100_20_27 , 2.16488e+06 , 2.11731e+06
100_20_28 , 2.11889e+06 , 2.1347e+06
100_20_29 , 2.26972e+06 , 2.24265e+06
100_20_30 , 1.9727e+06 , 1.9295e+06
